dieharder -a -f 2.000.000_RNG.txt 
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|               2.000.000_RNG.txt|  2.82e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.94308556|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.32217360|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.81417029|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.53532266|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.85670033|  PASSED  
        diehard_opso|   0|   2097152|     100|0.71592471|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.38756896|  PASSED  
         diehard_dna|   0|   2097152|     100|0.48719625|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.65395790|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.25973264|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.95668914|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.63628472|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.75970660|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.23319398|  PASSED  
        diehard_sums|   0|       100|     100|0.00018163|   WEAK   
        diehard_runs|   0|    100000|     100|0.42344254|  PASSED  
        diehard_runs|   0|    100000|     100|0.94535246|  PASSED  
       diehard_craps|   0|    200000|     100|0.55497701|  PASSED  
       diehard_craps|   0|    200000|     100|0.33146464|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.92619842|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.53172246|  PASSED  
         sts_monobit|   1|    100000|     100|0.94202866|  PASSED  
            sts_runs|   2|    100000|     100|0.28768265|  PASSED  
          sts_serial|   1|    100000|     100|0.56995482|  PASSED  
          sts_serial|   2|    100000|     100|0.82036317|  PASSED  
          sts_serial|   3|    100000|     100|0.96931937|  PASSED  
          sts_serial|   3|    100000|     100|0.59139201|  PASSED  
          sts_serial|   4|    100000|     100|0.89329738|  PASSED  
          sts_serial|   4|    100000|     100|0.99676650|   WEAK   
          sts_serial|   5|    100000|     100|0.81908845|  PASSED  
          sts_serial|   5|    100000|     100|0.61685184|  PASSED  
          sts_serial|   6|    100000|     100|0.66136863|  PASSED  
          sts_serial|   6|    100000|     100|0.40786759|  PASSED  
          sts_serial|   7|    100000|     100|0.66950786|  PASSED  
